"lon","lat","depth"
-88.28,49.065833,-0.232501
-88.285833,49.065,-0.232501
-88.285,49.065,-0.232501
-88.284167,49.065,-0.232501
-88.281667,49.065,-0.232501
-88.280833,49.065,-0.232501
-88.28,49.065,-0.232501
-88.279167,49.065,-0.232501
-88.2725,49.065,-0.232501
-88.289167,49.064167,-0.232501
-88.2875,49.064167,-0.232501
-88.286667,49.064167,-0.232501
-88.285,49.064167,-0.232501
-88.2825,49.064167,-0.232501
-88.276667,49.064167,-0.232501
-88.273333,49.064167,-0.232501
-88.2725,49.064167,-0.232501
-88.271667,49.064167,-0.232501
-88.2925,49.063333,-0.232501
-88.288333,49.063333,-0.232501
-88.286667,49.063333,-0.232501
-88.284167,49.063333,-0.232501
-88.283333,49.063333,-0.232501
-88.275,49.063333,-0.232501
-88.274167,49.063333,-0.232501
-88.271667,49.063333,-0.232501
-88.270833,49.063333,-0.232501
-88.290833,49.0625,-0.232501
-88.288333,49.0625,-0.232501
-88.2875,49.0625,-0.232501
-88.286667,49.0625,-0.232501
-88.279167,49.0625,-0.232501
-88.289167,49.061667,-0.232501
-88.288333,49.061667,-0.232501
-88.274167,49.061667,-0.232501
-88.269167,49.061667,-0.232501
-88.285,49.060833,-0.232501
-88.284167,49.060833,-0.232501
-88.2725,49.060833,-0.232501
-88.268333,49.060833,-0.232501
-88.286667,49.06,-0.232501
-88.285833,49.06,-0.232501
-88.284167,49.06,-0.232501
-88.268333,49.06,-0.232501
-88.284167,49.059167,-0.232501
-88.283333,49.059167,-0.232501
-88.2725,49.059167,-0.232501
-88.270833,49.059167,-0.232501
-88.285,49.058333,-0.232501
-88.283333,49.058333,-0.232501
-88.265833,49.058333,-0.232501
-88.285,49.0575,-0.232501
-88.284167,49.0575,-0.232501
-88.283333,49.0575,-0.232501
-88.2825,49.0575,-0.232501
-88.2725,49.0575,-0.232501
-88.270833,49.0575,-0.232501
-88.2675,49.0575,-0.232501
-88.265833,49.0575,-0.232501
-88.285833,49.056667,-0.232501
-88.285,49.056667,-0.232501
